x	xend	y	yend	showSelected1	PANEL
1	1	1	0.5	finite	1
1	1	0.5	0	finite	1
1	1	0	0.5	finite	1
1	0.833333333333333	0.5	0.5	finite	1
0.833333333333333	0.833333333333333	0.5	1	finite	1
0.833333333333333	0.666666666666667	1	1	finite	1
0.666666666666667	0.5	1	1	finite	1
0.5	0.333333333333333	1	1	finite	1
0.333333333333333	0.166666666666667	1	1	finite	1
0.166666666666667	0	1	1	finite	1
0	0.166666666666667	1	1	finite	1
0.166666666666667	0.333333333333333	1	1	finite	1
0.333333333333333	0.5	1	1	finite	1
0.5	0.666666666666667	1	1	finite	1
0.666666666666667	0.833333333333333	1	1	finite	1
0.833333333333333	0.666666666666667	1	1	finite	1
0.666666666666667	0.666666666666667	1	0.5	finite	1
0.666666666666667	0.833333333333333	0.5	0.5	finite	1
0.833333333333333	0.666666666666667	0.5	0.5	finite	1
0.666666666666667	0.5	0.5	0.5	finite	1
0.5	0.5	0.5	0	finite	1
0.5	0.333333333333333	0	0	finite	1
0.333333333333333	0.166666666666667	0	0	finite	1
0.166666666666667	0	0	0	finite	1
1	0.833333333333333	1	1	infinite	2
0.833333333333333	1	1	1	infinite	2
1	0.833333333333333	1	1	infinite	2
0.833333333333333	0.666666666666667	1	1	infinite	2
0.666666666666667	0.833333333333333	1	1	infinite	2
0.833333333333333	0.666666666666667	1	1	infinite	2
0.666666666666667	0.5	1	1	infinite	2
0.5	0.333333333333333	1	1	infinite	2
0.333333333333333	0.5	1	1	infinite	2
0.5	0.666666666666667	1	1	infinite	2
0.666666666666667	0.833333333333333	1	1	infinite	2
0.833333333333333	1	1	1	infinite	2
1	0.166666666666667	1	1	infinite	2
0.166666666666667	0	1	1	infinite	2
0	0	1	0	infinite	2
0	0	0	0.5	infinite	2
0	0	0.5	1	infinite	2
0	0	1	0.5	infinite	2
0	0	0.5	0	infinite	2
